"ï..Antibiotic","Country","X..non.susceptibles","Intermediate","Nonsusceptible","tested","Pathogen","Resistant","SPECIMEN..Sample.","Susceptible"
"Colistin","Korea","1%",0,0,104,"Klebsiella pneumoniae",1,"blood",103
"Ceftriaxone","United Arab Emirates","70%",0,0,20,"Klebsiella pneumoniae",14,"blood",6
"Cefotaxime","Korea","10%",0,0,48,"Klebsiella pneumoniae",5,"blood",43
"Ertapenem","United Arab Emirates","100%",0,0,4,"Klebsiella pneumoniae",4,"blood",0
"Ertapenem","Korea","6%",0,0,48,"Klebsiella pneumoniae",3,"blood",45
"Cefepime","United Arab Emirates","17%",0,0,6,"Klebsiella pneumoniae",1,"blood",5
"Cefepime","Korea","30%",0,0,50,"Klebsiella pneumoniae",15,"blood",35
"Imipenem","Korea","6%",6,0,222,"Klebsiella pneumoniae",8,"blood",208
"Imipenem","Philippines","0%",0,0,4,"Klebsiella pneumoniae",0,"blood",4
"Cephalosporins","United Arab Emirates","0%",0,0,6,"Klebsiella pneumoniae",0,"blood",6
"Cephalosporins","Philippines","0%",0,0,5,"Klebsiella pneumoniae",0,"blood",5
"Carbapenems","United Arab Emirates","17%",0,0,6,"Klebsiella pneumoniae",1,"blood",5
"Carbapenems","Philippines","0%",0,0,1390,"Klebsiella pneumoniae",2,"blood",1388
"Fluoroquinolones","United Arab Emirates","21%",7,0,82,"Klebsiella pneumoniae",10,"blood",65
"Fluoroquinolones","Philippines","4%",0,0,2039,"Klebsiella pneumoniae",86,"blood",1953
"Levofloxacin","Philippines","0%",0,0,2039,"Klebsiella pneumoniae",4,"blood",2035
"Meropenem","United Arab Emirates","0%",0,0,72,"Klebsiella pneumoniae",0,"blood",72
"Co-trimoxazole","United Arab Emirates","65%",0,0,23,"Klebsiella pneumoniae",15,"blood",8
"Co-trimoxazole","Philippines","37%",8,0,439,"Klebsiella pneumoniae",155,"blood",276
"Ceftazidime","Korea","12%",4,0,117,"Klebsiella pneumoniae",10,"blood",103
"Ceftazidime","Thailand","0%",0,0,3,"Klebsiella pneumoniae",0,"blood",3
"Ciprofloxacin","United Arab Emirates","0%",0,0,50,"Klebsiella pneumoniae",0,"blood",50
"Ciprofloxacin","Thailand","67%",0,0,3,"Klebsiella pneumoniae",2,"blood",1
"Colistin","United Arab Emirates","0%",0,0,8,"Klebsiella pneumoniae",0,"blood",8
"Colistin","Thailand","0%",0,0,3,"Klebsiella pneumoniae",0,"blood",3
"Ceftriaxone","United Arab Emirates","38%",0,0,8,"Klebsiella pneumoniae",3,"blood",5
"Ertapenem","United Arab Emirates","2%",0,0,49,"Klebsiella pneumoniae",1,"blood",48
"Ertapenem","Thailand","0%",0,0,3,"Klebsiella pneumoniae",0,"blood",3
"Cefepime","United Arab Emirates","0%",0,0,6,"Klebsiella pneumoniae",0,"blood",6
"Cefepime","Thailand","67%",0,0,3,"Klebsiella pneumoniae",2,"blood",1
"Imipenem","United Arab Emirates","65%",0,0,23,"Klebsiella pneumoniae",15,"blood",8
"Imipenem","Korea","0%",0,0,469,"Klebsiella pneumoniae",1,"blood",468
"Imipenem","Thailand","0%",0,0,4,"Klebsiella pneumoniae",0,"blood",4
"Cephalosporins","Thailand","67%",0,0,3,"Klebsiella pneumoniae",2,"blood",1
"Carbapenems","United Arab Emirates","0%",0,0,23,"Klebsiella pneumoniae",0,"blood",23
"Carbapenems","Thailand","0%",0,0,4,"Klebsiella pneumoniae",0,"blood",4
"Trimethoprim-sulfa","Korea","19%",0,0,122,"Klebsiella pneumoniae",23,"blood",99
"Fluoroquinolones","United Arab Emirates","0%",0,0,23,"Klebsiella pneumoniae",0,"blood",23
"Levofloxacin","United Arab Emirates","67%",0,0,3,"Klebsiella pneumoniae",2,"blood",1
"Meropenem","United Arab Emirates","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Meropenem","Korea","70%",0,0,10,"Klebsiella pneumoniae",7,"blood",3
"Meropenem","Thailand","83%",0,0,6,"Klebsiella pneumoniae",5,"blood",1
"Co-trimoxazole","United Arab Emirates","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Co-trimoxazole","Thailand","0%",0,0,20,"Klebsiella pneumoniae",0,"blood",20
"Ceftazidime","Korea","1%",0,0,545,"Klebsiella pneumoniae",4,"blood",541
"Ceftazidime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Ciprofloxacin","Korea","28%",0,0,144,"Klebsiella pneumoniae",40,"blood",104
"Colistin","Korea","56%",1,0,16,"Klebsiella pneumoniae",8,"blood",7
"Colistin","Thailand","0%",0,0,3,"Klebsiella pneumoniae",0,"blood",3
"Ceftriaxone","Philippines","10%",64,0,1993,"Klebsiella pneumoniae",140,"blood",1789
"Ceftriaxone","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Doripenem","Thailand","0%",0,0,3,"Klebsiella pneumoniae",0,"blood",3
"Ertapenem","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Cefepime","Philippines","10%",71,0,4088,"Klebsiella pneumoniae",329,"blood",3688
"Cefepime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Imipenem","Korea","44%",0,0,16,"Klebsiella pneumoniae",7,"blood",9
"Imipenem","Philippines","19%",8,0,2149,"Klebsiella pneumoniae",397,"blood",1744
"Cephalosporins","Philippines","16%",34,0,415,"Klebsiella pneumoniae",34,"blood",347
"Cephalosporins","Thailand","100%",0,0,2,"Klebsiella pneumoniae",2,"blood",0
"Carbapenems","Philippines","0%",1,0,413,"Klebsiella pneumoniae",0,"blood",412
"Carbapenems","Thailand","71%",0,0,7,"Klebsiella pneumoniae",5,"blood",2
"Trimethoprim-sulfa","Korea","0%",0,0,6,"Klebsiella pneumoniae",0,"blood",6
"Levofloxacin","Philippines","15%",4,0,234,"Klebsiella pneumoniae",30,"blood",200
"Ceftazidime","Korea","55%",0,0,11,"Klebsiella pneumoniae",6,"blood",5
"Ceftazidime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Ciprofloxacin","Korea","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Ciprofloxacin","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Ceftriaxone","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Cefotaxime","Korea","45%",0,0,11,"Klebsiella pneumoniae",5,"blood",6
"Cefotaxime","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Doripenem","Thailand","33%",0,0,3,"Klebsiella pneumoniae",1,"blood",2
"Ertapenem","Korea","23%",1,0,83,"Klebsiella pneumoniae",18,"blood",64
"Ertapenem","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Cefepime","Korea","20%",1,0,83,"Klebsiella pneumoniae",16,"blood",66
"Imipenem","Korea","43%",3,0,164,"Klebsiella pneumoniae",67,"blood",94
"Carbapenems","Thailand","38%",0,0,8,"Klebsiella pneumoniae",3,"blood",5
"Fluoroquinolones","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Levofloxacin","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Meropenem","Korea","11%",2,0,83,"Klebsiella pneumoniae",7,"blood",74
"Meropenem","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Co-trimoxazole","Thailand","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Ceftazidime","Korea","47%",0,0,101,"Klebsiella pneumoniae",47,"blood",54
"Colistin","Korea","8%",1,0,61,"Klebsiella pneumoniae",4,"blood",56
"Colistin","Thailand","0%",0,0,3,"Klebsiella pneumoniae",0,"blood",3
"Cefotaxime","Korea","0%",0,0,119,"Klebsiella pneumoniae",0,"blood",119
"Cefotaxime","Thailand","50%",0,0,6,"Klebsiella pneumoniae",3,"blood",3
"Doripenem","Thailand","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Ertapenem","Thailand","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Cefepime","Korea","0%",0,0,118,"Klebsiella pneumoniae",0,"blood",118
"Imipenem","Korea","14%",0,0,125,"Klebsiella pneumoniae",17,"blood",108
"Imipenem","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Cephalosporins","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Carbapenems","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Trimethoprim-sulfa","Korea","19%",1,0,52,"Klebsiella pneumoniae",9,"blood",42
"Meropenem","Thailand","25%",0,0,4,"Klebsiella pneumoniae",1,"blood",3
"Ciprofloxacin","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Cefotaxime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Ertapenem","Thailand","88%",0,0,8,"Klebsiella pneumoniae",7,"blood",1
"Cefepime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Levofloxacin","Thailand","25%",1,0,8,"Klebsiella pneumoniae",1,"blood",6
"Meropenem","Korea","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Meropenem","Thailand","80%",0,0,5,"Klebsiella pneumoniae",4,"blood",1
"Co-trimoxazole","Thailand","38%",0,0,8,"Klebsiella pneumoniae",3,"blood",5
"Ceftazidime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Ciprofloxacin","United Arab Emirates","0%",0,0,4,"Klebsiella pneumoniae",0,"blood",4
"Ciprofloxacin","Thailand","93%",0,0,15,"Klebsiella pneumoniae",14,"blood",1
"Colistin","United Arab Emirates","0%",0,0,4,"Klebsiella pneumoniae",0,"blood",4
"Colistin","Korea","33%",1,0,6,"Klebsiella pneumoniae",1,"blood",4
"Colistin","Thailand","54%",0,0,13,"Klebsiella pneumoniae",7,"blood",6
"Cefotaxime","United Arab Emirates","25%",0,0,4,"Klebsiella pneumoniae",1,"blood",3
"Ertapenem","United Arab Emirates","60%",1,0,5,"Klebsiella pneumoniae",2,"blood",2
"Ertapenem","Korea","0%",0,0,6,"Klebsiella pneumoniae",0,"blood",6
"Ertapenem","Thailand","46%",1,0,13,"Klebsiella pneumoniae",5,"blood",7
"Cefepime","United Arab Emirates","60%",0,0,5,"Klebsiella pneumoniae",3,"blood",2
"Cefepime","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Imipenem","Korea","0%",0,0,29,"Klebsiella pneumoniae",0,"blood",29
"Imipenem","Thailand","53%",0,0,15,"Klebsiella pneumoniae",8,"blood",7
"Cephalosporins","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Trimethoprim-sulfa","Korea","0%",0,0,7,"Klebsiella pneumoniae",0,"blood",7
"Meropenem","United Arab Emirates","0%",0,0,5,"Klebsiella pneumoniae",0,"blood",5
"Co-trimoxazole","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Ceftazidime","United Arab Emirates","23%",1,0,13,"Klebsiella pneumoniae",2,"blood",10
"Ceftazidime","Korea","0%",0,0,5,"Klebsiella pneumoniae",0,"blood",5
"Ceftazidime","Thailand","50%",0,0,16,"Klebsiella pneumoniae",8,"blood",8
"Ciprofloxacin","United Arab Emirates","75%",0,0,12,"Klebsiella pneumoniae",9,"blood",3
"Ciprofloxacin","Korea","20%",0,0,5,"Klebsiella pneumoniae",1,"blood",4
"Colistin","United Arab Emirates","23%",1,0,13,"Klebsiella pneumoniae",2,"blood",10
"Colistin","Korea","0%",0,0,4,"Klebsiella pneumoniae",0,"blood",4
"Colistin","Thailand","44%",0,0,16,"Klebsiella pneumoniae",7,"blood",9
"Ceftriaxone","United Arab Emirates","42%",0,0,12,"Klebsiella pneumoniae",5,"blood",7
"Cefotaxime","Korea","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Cefotaxime","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Ertapenem","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Cefepime","United Arab Emirates","39%",2,0,36,"Klebsiella pneumoniae",12,"blood",22
"Cefepime","Korea","0%",0,0,4,"Klebsiella pneumoniae",0,"blood",4
"Imipenem","Thailand","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Cephalosporins","Thailand","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Carbapenems","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Fluoroquinolones","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Levofloxacin","Thailand","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Meropenem","United Arab Emirates","48%",6,0,33,"Klebsiella pneumoniae",10,"blood",17
"Meropenem","Thailand","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Co-trimoxazole","United Arab Emirates","62%",1,0,13,"Klebsiella pneumoniae",7,"blood",5
"Co-trimoxazole","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Ceftazidime","United Arab Emirates","100%",0,0,3,"Klebsiella pneumoniae",3,"blood",0
"Ceftazidime","Korea","26%",0,0,80,"Klebsiella pneumoniae",21,"blood",59
"Ceftazidime","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Ciprofloxacin","United Arab Emirates","33%",0,0,3,"Klebsiella pneumoniae",1,"blood",2
"Colistin","United Arab Emirates","0%",0,0,3,"Klebsiella pneumoniae",0,"blood",3
"Ceftriaxone","United Arab Emirates","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Cefotaxime","United Arab Emirates","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Cefotaxime","Korea","24%",0,0,17,"Klebsiella pneumoniae",4,"blood",13
"Cefotaxime","Thailand","50%",0,0,22,"Klebsiella pneumoniae",11,"blood",11
"Doripenem","Thailand","0%",0,0,6,"Klebsiella pneumoniae",0,"blood",6
"Ertapenem","United Arab Emirates","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Ertapenem","Korea","24%",2,0,21,"Klebsiella pneumoniae",3,"blood",16
"Ertapenem","Thailand","50%",0,0,20,"Klebsiella pneumoniae",10,"blood",10
"Cefepime","Korea","0%",0,0,23,"Klebsiella pneumoniae",0,"blood",23
"Cephalosporins","Thailand","45%",1,0,20,"Klebsiella pneumoniae",8,"blood",11
"Carbapenems","United Arab Emirates","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Carbapenems","Thailand","71%",0,0,7,"Klebsiella pneumoniae",5,"blood",2
"Fluoroquinolones","United Arab Emirates","100%",0,0,2,"Klebsiella pneumoniae",2,"blood",0
"Fluoroquinolones","Thailand","27%",1,0,22,"Klebsiella pneumoniae",5,"blood",16
"Levofloxacin","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Levofloxacin","Thailand","52%",0,0,23,"Klebsiella pneumoniae",12,"blood",11
"Meropenem","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Meropenem","Korea","38%",0,0,29,"Klebsiella pneumoniae",11,"blood",18
"Meropenem","Thailand","30%",0,0,23,"Klebsiella pneumoniae",7,"blood",16
"Ceftazidime","Korea","19%",1,0,85,"Klebsiella pneumoniae",15,"blood",69
"Ceftazidime","Malaysia","50%",0,0,2,"Klebsiella pneumoniae",1,"blood",1
"Ceftazidime","Philippines","33%",0,0,3,"Klebsiella pneumoniae",1,"blood",2
"Ciprofloxacin","Korea","36%",2,0,14,"Klebsiella pneumoniae",3,"blood",9
"Ciprofloxacin","Malaysia","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Ciprofloxacin","Philippines","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Colistin","Malaysia","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Ceftriaxone","Malaysia","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Cefotaxime","Korea","0%",0,0,46,"Klebsiella pneumoniae",0,"blood",46
"Doripenem","Malaysia","100%",0,0,1,"Klebsiella pneumoniae",1,"blood",0
"Doripenem","Philippines","75%",0,0,4,"Klebsiella pneumoniae",3,"blood",1
"Ertapenem","Korea","0%",0,0,85,"Klebsiella pneumoniae",0,"blood",85
"Ertapenem","Philippines","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Cefepime","Korea","33%",0,0,87,"Klebsiella pneumoniae",29,"blood",58
"Cefepime","Philippines","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Imipenem","Korea","36%",2,0,14,"Klebsiella pneumoniae",3,"blood",9
"Imipenem","Malaysia","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Imipenem","Philippines","75%",0,0,4,"Klebsiella pneumoniae",3,"blood",1
"Cephalosporins","Philippines","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Carbapenems","Philippines","8%",0,0,13,"Klebsiella pneumoniae",1,"blood",12
"Trimethoprim-sulfa","Korea","0%",0,0,86,"Klebsiella pneumoniae",0,"blood",86
"Fluoroquinolones","Philippines","8%",0,0,12,"Klebsiella pneumoniae",1,"blood",11
"Meropenem","Korea","66%",0,0,258,"Klebsiella pneumoniae",170,"blood",88
"Meropenem","Malaysia","0%",0,0,8,"Klebsiella pneumoniae",0,"blood",8
"Co-trimoxazole","Malaysia","0%",0,0,2,"Klebsiella pneumoniae",0,"blood",2
"Co-trimoxazole","Philippines","8%",0,0,12,"Klebsiella pneumoniae",1,"blood",11
"Ceftazidime","Malaysia","40%",0,0,5,"Salmonella spp",2,"blood",3
"Ciprofloxacin","United Arab Emirates","100%",0,0,2,"Salmonella spp",2,"blood",0
"Ciprofloxacin","Malaysia","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ceftriaxone","Philippines","0%",0,0,1,"Salmonella spp",0,"blood",1
"Cefotaxime","United Arab Emirates","0%",0,0,2,"Salmonella spp",0,"blood",2
"Cefotaxime","Malaysia","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ertapenem","United Arab Emirates","60%",0,0,5,"Salmonella spp",3,"blood",2
"Ertapenem","Malaysia","50%",0,0,4,"Salmonella spp",2,"blood",2
"Imipenem","United Arab Emirates","60%",0,0,5,"Salmonella spp",3,"blood",2
"Imipenem","Korea","73%",0,0,11,"Salmonella spp",8,"blood",3
"Imipenem","Malaysia","100%",0,0,4,"Salmonella spp",4,"blood",0
"Imipenem","Philippines","0%",0,0,1,"Salmonella spp",0,"blood",1
"Cephalosporins","Malaysia","0%",0,0,3,"Salmonella spp",0,"blood",3
"Cephalosporins","Philippines","0%",0,0,1,"Salmonella spp",0,"blood",1
"Fluoroquinolones","Malaysia","33%",0,0,3,"Salmonella spp",1,"blood",2
"Fluoroquinolones","Philippines","0%",0,0,1,"Salmonella spp",0,"blood",1
"Levofloxacin","United Arab Emirates","100%",0,0,1,"Salmonella spp",1,"blood",0
"Levofloxacin","Philippines","0%",0,0,1,"Salmonella spp",0,"blood",1
"Meropenem","Philippines","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ceftazidime","Korea","23%",0,0,35,"Salmonella spp",8,"blood",27
"Ceftriaxone","United Arab Emirates","100%",0,0,5,"Salmonella spp",5,"blood",0
"Cefotaxime","Korea","27%",1,0,74,"Salmonella spp",19,"blood",54
"Ertapenem","United Arab Emirates","0%",0,0,35,"Salmonella spp",0,"blood",35
"Cephalosporins","United Arab Emirates","100%",0,0,2,"Salmonella spp",2,"blood",0
"Fluoroquinolones","United Arab Emirates","0%",0,0,2,"Salmonella spp",0,"blood",2
"Levofloxacin","United Arab Emirates","0%",0,0,1,"Salmonella spp",0,"blood",1
"Meropenem","United Arab Emirates","0%",0,0,3,"Salmonella spp",0,"blood",3
"Ceftazidime","Korea","8%",0,0,72,"Salmonella spp",6,"blood",66
"Ceftazidime","Thailand","79%",1,0,14,"Salmonella spp",10,"blood",3
"Ciprofloxacin","United Arab Emirates","5%",1,0,20,"Salmonella spp",0,"blood",19
"Ciprofloxacin","Korea","4%",1,0,46,"Salmonella spp",1,"blood",44
"Ciprofloxacin","Thailand","45%",0,0,31,"Salmonella spp",14,"blood",17
"Ceftriaxone","United Arab Emirates","25%",0,0,4,"Salmonella spp",1,"blood",3
"Ceftriaxone","Thailand","100%",0,0,2,"Salmonella spp",2,"blood",0
"Ertapenem","United Arab Emirates","76%",0,0,101,"Salmonella spp",77,"blood",24
"Imipenem","Philippines","0%",0,0,5,"Salmonella spp",0,"blood",5
"Cephalosporins","United Arab Emirates","0%",0,0,100,"Salmonella spp",0,"blood",100
"Cephalosporins","Philippines","0%",0,0,5,"Salmonella spp",0,"blood",5
"Cephalosporins","Thailand","14%",0,0,14,"Salmonella spp",2,"blood",12
"Fluoroquinolones","United Arab Emirates","39%",0,0,18,"Salmonella spp",7,"blood",11
"Fluoroquinolones","Philippines","0%",0,0,2039,"Salmonella spp",6,"blood",2033
"Fluoroquinolones","Thailand","0%",0,0,14,"Salmonella spp",0,"blood",14
"Levofloxacin","Philippines","0%",0,0,2039,"Salmonella spp",0,"blood",2039
"Levofloxacin","Thailand","0%",0,0,3,"Salmonella spp",0,"blood",3
"Meropenem","United Arab Emirates","0%",0,0,17,"Salmonella spp",0,"blood",17
"Meropenem","Philippines","36%",21,0,900,"Salmonella spp",300,"blood",579
"Meropenem","Thailand","45%",0,0,31,"Salmonella spp",14,"blood",17
"Ceftazidime","Thailand","33%",0,0,3,"Salmonella spp",1,"blood",2
"Ciprofloxacin","United Arab Emirates","0%",0,0,8,"Salmonella spp",0,"blood",8
"Ceftriaxone","United Arab Emirates","71%",0,0,49,"Salmonella spp",35,"blood",14
"Cefotaxime","Korea","1%",1,0,442,"Salmonella spp",2,"blood",439
"Doripenem","Thailand","25%",0,0,4,"Salmonella spp",1,"blood",3
"Ertapenem","United Arab Emirates","0%",0,0,6,"Salmonella spp",0,"blood",6
"Ertapenem","Thailand","0%",0,0,4,"Salmonella spp",0,"blood",4
"Imipenem","United Arab Emirates","61%",0,0,23,"Salmonella spp",14,"blood",9
"Imipenem","Thailand","33%",0,0,3,"Salmonella spp",1,"blood",2
"Fluoroquinolones","United Arab Emirates","0%",0,0,3,"Salmonella spp",0,"blood",3
"Levofloxacin","United Arab Emirates","67%",0,0,3,"Salmonella spp",2,"blood",1
"Meropenem","Thailand","40%",0,0,5,"Salmonella spp",2,"blood",3
"Ceftazidime","Thailand","0%",0,0,2,"Salmonella spp",0,"blood",2
"Ciprofloxacin","Korea","75%",2,0,16,"Salmonella spp",10,"blood",4
"Ceftriaxone","Philippines","9%",13,0,389,"Salmonella spp",21,"blood",355
"Ceftriaxone","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Cefotaxime","Korea","44%",0,0,16,"Salmonella spp",7,"blood",9
"Cefotaxime","Philippines","9%",7,0,2095,"Salmonella spp",189,"blood",1899
"Doripenem","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ertapenem","Thailand","0%",0,0,2,"Salmonella spp",0,"blood",2
"Imipenem","Korea","17%",0,0,6,"Salmonella spp",1,"blood",5
"Imipenem","Philippines","16%",3,0,413,"Salmonella spp",65,"blood",345
"Cephalosporins","Thailand","20%",0,0,5,"Salmonella spp",1,"blood",4
"Fluoroquinolones","Philippines","19%",8,0,2149,"Salmonella spp",397,"blood",1744
"Levofloxacin","Thailand","0%",0,0,5,"Salmonella spp",0,"blood",5
"Meropenem","Philippines","13%",31,0,1762,"Salmonella spp",197,"blood",1534
"Ceftazidime","Korea","50%",0,0,2,"Salmonella spp",1,"blood",1
"Ceftazidime","Thailand","100%",0,0,1,"Salmonella spp",1,"blood",0
"Ciprofloxacin","Korea","64%",0,0,11,"Salmonella spp",7,"blood",4
"Ciprofloxacin","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ceftriaxone","Thailand","100%",0,0,1,"Salmonella spp",1,"blood",0
"Cefotaxime","Korea","50%",0,0,2,"Salmonella spp",1,"blood",1
"Cefotaxime","Thailand","67%",0,0,3,"Salmonella spp",2,"blood",1
"Doripenem","Thailand","50%",0,0,2,"Salmonella spp",1,"blood",1
"Imipenem","Korea","30%",1,0,76,"Salmonella spp",22,"blood",53
"Fluoroquinolones","Thailand","0%",0,0,3,"Salmonella spp",0,"blood",3
"Meropenem","Thailand","100%",0,0,1,"Salmonella spp",1,"blood",0
"Ceftazidime","Korea","29%",1,0,52,"Salmonella spp",14,"blood",37
"Ceftazidime","Tunisia","100%",0,0,1,"Salmonella spp",1,"blood",0
"Ciprofloxacin","Tunisia","100%",0,0,1,"Salmonella spp",1,"blood",0
"Cefotaxime","Korea","10%",1,0,61,"Salmonella spp",5,"blood",55
"Cefotaxime","Tunisia","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ertapenem","Tunisia","0%",0,0,1,"Salmonella spp",0,"blood",1
"Imipenem","Korea","19%",2,0,52,"Salmonella spp",8,"blood",42
"Meropenem","Tunisia","25%",0,0,4,"Salmonella spp",1,"blood",3
"Ceftazidime","Korea","24%",7,0,46,"Salmonella spp",4,"blood",35
"Ciprofloxacin","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ceftriaxone","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Cefotaxime","Thailand","100%",0,0,1,"Salmonella spp",1,"blood",0
"Ertapenem","Thailand","38%",0,0,8,"Salmonella spp",3,"blood",5
"Levofloxacin","Thailand","80%",0,0,5,"Salmonella spp",4,"blood",1
"Meropenem","Thailand","0%",0,0,8,"Salmonella spp",0,"blood",8
"Ceftazidime","Thailand","100%",0,0,1,"Salmonella spp",1,"blood",0
"Ciprofloxacin","Thailand","54%",0,0,13,"Salmonella spp",7,"blood",6
"Ertapenem","Thailand","50%",1,0,10,"Salmonella spp",4,"blood",5
"Imipenem","Korea","0%",0,0,6,"Salmonella spp",0,"blood",6
"Imipenem","Thailand","54%",0,0,13,"Salmonella spp",7,"blood",6
"Cephalosporins","Thailand","7%",0,0,15,"Salmonella spp",1,"blood",14
"Fluoroquinolones","Thailand","7%",0,0,14,"Salmonella spp",1,"blood",13
"Ceftazidime","Korea","0%",0,0,5,"Salmonella spp",0,"blood",5
"Ceftazidime","Thailand","35%",0,0,26,"Salmonella spp",9,"blood",17
"Doripenem","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ertapenem","Thailand","100%",0,0,1,"Salmonella spp",1,"blood",0
"Imipenem","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Cephalosporins","Thailand","50%",0,0,2,"Salmonella spp",1,"blood",1
"Fluoroquinolones","Thailand","0%",0,0,2,"Salmonella spp",0,"blood",2
"Levofloxacin","Thailand","100%",0,0,1,"Salmonella spp",1,"blood",0
"Meropenem","Thailand","100%",0,0,1,"Salmonella spp",1,"blood",0
"Ceftazidime","United Arab Emirates","33%",0,0,3,"Salmonella spp",1,"blood",2
"Ceftazidime","Korea","61%",1,0,28,"Salmonella spp",16,"blood",11
"Ceftazidime","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ciprofloxacin","Korea","28%",0,0,29,"Salmonella spp",8,"blood",21
"Ceftriaxone","United Arab Emirates","100%",0,0,1,"Salmonella spp",1,"blood",0
"Ceftriaxone","Thailand","86%",0,0,21,"Salmonella spp",18,"blood",3
"Cefotaxime","United Arab Emirates","100%",0,0,3,"Salmonella spp",3,"blood",0
"Cefotaxime","Thailand","62%",0,0,21,"Salmonella spp",13,"blood",8
"Ertapenem","United Arab Emirates","100%",0,0,1,"Salmonella spp",1,"blood",0
"Ertapenem","Thailand","41%",0,0,17,"Salmonella spp",7,"blood",10
"Imipenem","Korea","28%",0,0,29,"Salmonella spp",8,"blood",21
