"Species","syndrome","Country","Year","variable","n","rate_r","Prop_Syn","Dataset"
"Haemophilus influenzae","cap","Argentina",2017,"Meropenem",23,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Belgium",2017,"Aminoglycosides",43,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","United States",2017,"Cefuroxime",68,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Croatia",2017,"Cefuroxime",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","United States",2017,"Fluoroquinolones",68,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Italy",2017,"Levofloxacin",72,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Russia",2017,"Levofloxacin",9,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Pakistan",2017,"Aminopenicillins",4,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Pakistan",2017,"Aminoglycosides",4,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Netherlands",2017,"Cephalosporins",29,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Australia",2017,"Co-amoxiclav",32,0.03125,0.2,"ATLAS"
"Haemophilus influenzae","cap","Taiwan",2017,"Cefuroxime",31,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Switzerland",2017,"Cefuroxime",14,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Italy",2017,"Amoxicillin",72,0.208333333333333,0.2,"ATLAS"
"Haemophilus influenzae","cap","Italy",2017,"Fluoroquinolones",72,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hong Kong",2017,"Aminopenicillins",14,0.357142857142857,0.2,"ATLAS"
"Haemophilus influenzae","cap","Greece",2017,"Amoxicillin",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Australia",2017,"Fluoroquinolones",32,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Taiwan",2017,"Amoxicillin",31,0.419354838709677,0.2,"ATLAS"
"Haemophilus influenzae","cap","Australia",2017,"Cephalosporins",32,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Venezuela",2017,"Cephalosporins",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Latvia",2017,"Co-amoxiclav",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Brazil",2017,"Cefuroxime",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Greece",2017,"Fluoroquinolones",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Netherlands",2017,"Aminopenicillins",29,0.310344827586207,0.2,"ATLAS"
"Haemophilus influenzae","cap","Croatia",2017,"Co-amoxiclav",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Croatia",2017,"Cephalosporins",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Japan",2017,"Cephalosporins",43,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Morocco",2017,"Cefuroxime",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Croatia",2017,"Carbapenems",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Japan",2017,"Cefuroxime",43,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Philippines",2017,"Meropenem",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Venezuela",2017,"Fluoroquinolones",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Switzerland",2017,"Aminoglycosides",14,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Japan",2017,"Levofloxacin",43,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Japan",2017,"Ceftriaxone",43,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Czech Republic",2017,"Ceftriaxone",46,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Spain",2017,"Amoxicillin",175,0.228571428571429,0.2,"ATLAS"
"Haemophilus influenzae","cap","Greece",2017,"Co-amoxiclav",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hong Kong",2017,"Cefuroxime",14,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hong Kong",2017,"Carbapenems",14,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Italy",2017,"Meropenem",72,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Philippines",2017,"Cefuroxime",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Latvia",2017,"Levofloxacin",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Croatia",2017,"Aminoglycosides",1,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Japan",2017,"Amoxicillin",43,0.558139534883721,0.2,"ATLAS"
"Haemophilus influenzae","cap","Japan",2017,"Meropenem",43,0.0465116279069767,0.2,"ATLAS"
"Haemophilus influenzae","cap","Pakistan",2017,"Cephalosporins",4,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Pakistan",2017,"Fluoroquinolones",4,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Philippines",2017,"Cephalosporins",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Latvia",2017,"Meropenem",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Czech Republic",2017,"Levofloxacin",46,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Thailand",2017,"Aminopenicillins",23,0.565217391304348,0.2,"ATLAS"
"Haemophilus influenzae","cap","United States",2017,"Carbapenems",68,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","United States",2017,"Aminoglycosides",68,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Russia",2017,"Co-amoxiclav",9,0.222222222222222,0.2,"ATLAS"
"Haemophilus influenzae","cap","Netherlands",2017,"Meropenem",29,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Venezuela",2017,"Meropenem",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Cephalosporins",17,0.0588235294117647,0.2,"ATLAS"
"Haemophilus influenzae","cap","Philippines",2017,"Levofloxacin",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Switzerland",2017,"Meropenem",14,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Mexico",2017,"Cephalosporins",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Greece",2017,"Cephalosporins",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Italy",2017,"Ceftriaxone",72,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Morocco",2017,"Levofloxacin",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Netherlands",2017,"Fluoroquinolones",29,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Mexico",2017,"Aminopenicillins",13,0.230769230769231,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hong Kong",2017,"Macrolides",5,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Latvia",2017,"Amoxicillin",13,0.0769230769230769,0.2,"ATLAS"
"Haemophilus influenzae","cap","Venezuela",2017,"Carbapenems",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","United States",2017,"Cephalosporins",68,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Brazil",2017,"Carbapenems",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Czech Republic",2017,"Cephalosporins",46,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Australia",2017,"Ceftriaxone",32,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Mexico",2017,"Fluoroquinolones",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Venezuela",2017,"Aminopenicillins",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Ireland",2017,"Aminoglycosides",22,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Cefuroxime",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Lithuania",2017,"Amoxicillin",6,0.166666666666667,0.2,"ATLAS"
"Haemophilus influenzae","cap","Croatia",2017,"Meropenem",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Brazil",2017,"Macrolides",7,0.428571428571429,0.2,"ATLAS"
"Haemophilus influenzae","cap","United States",2017,"Aminopenicillins",68,0.308823529411765,0.2,"ATLAS"
"Haemophilus influenzae","cap","Greece",2017,"Meropenem",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Croatia",2017,"Fluoroquinolones",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Ireland",2017,"Cefuroxime",22,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Croatia",2017,"Aminopenicillins",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Italy",2017,"Aminopenicillins",72,0.208333333333333,0.2,"ATLAS"
"Haemophilus influenzae","cap","Germany",2017,"Amoxicillin",93,0.161290322580645,0.2,"ATLAS"
"Haemophilus influenzae","cap","Netherlands",2017,"Carbapenems",29,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Mexico",2017,"Amoxicillin",13,0.230769230769231,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Carbapenems",17,0.0588235294117647,0.2,"ATLAS"
"Haemophilus influenzae","cap","Czech Republic",2017,"Fluoroquinolones",46,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Russia",2017,"Ceftriaxone",9,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Australia",2017,"Levofloxacin",32,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Lithuania",2017,"Fluoroquinolones",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Morocco",2017,"Aminoglycosides",6,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Morocco",2017,"Meropenem",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Levofloxacin",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Switzerland",2017,"Ceftriaxone",14,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Mexico",2017,"Cefuroxime",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Aminoglycosides",5,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Venezuela",2017,"Amoxicillin",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Latvia",2017,"Aminoglycosides",13,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Philippines",2017,"Co-amoxiclav",17,0.117647058823529,0.2,"ATLAS"
"Haemophilus influenzae","cap","Morocco",2017,"Ceftriaxone",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Australia",2017,"Meropenem",32,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Ceftriaxone",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Brazil",2017,"Fluoroquinolones",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Switzerland",2017,"Co-amoxiclav",14,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Greece",2017,"Ceftriaxone",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Fluoroquinolones",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Aminopenicillins",17,0.294117647058824,0.2,"ATLAS"
"Haemophilus influenzae","cap","Greece",2017,"Levofloxacin",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Ireland",2017,"Levofloxacin",22,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Czech Republic",2017,"Carbapenems",46,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Brazil",2017,"Amoxicillin",13,0.461538461538462,0.2,"ATLAS"
"Haemophilus influenzae","cap","Venezuela",2017,"Levofloxacin",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Co-amoxiclav",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Venezuela",2017,"Ceftriaxone",1,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Czech Republic",2017,"Meropenem",46,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Morocco",2017,"Co-amoxiclav",6,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Hungary",2017,"Meropenem",17,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Czech Republic",2017,"Aminoglycosides",21,1,0.2,"ATLAS"
"Haemophilus influenzae","cap","Ireland",2017,"Amoxicillin",22,0.0909090909090909,0.2,"ATLAS"
"Haemophilus influenzae","cap","Brazil",2017,"Cephalosporins",13,0,0.2,"ATLAS"
"Haemophilus influenzae","cap","Mexico",2017,"Macrolides",1,1,0.2,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Co-amoxiclav",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Aminopenicillins",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Fluoroquinolones",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Aminoglycosides",2,1,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Amoxicillin",2,0.5,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Cephalosporins",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Carbapenems",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Cefuroxime",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Co-amoxiclav",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Aminopenicillins",2,0.5,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Cefuroxime",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Fluoroquinolones",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Cefuroxime",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Amoxicillin",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Ceftriaxone",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Amoxicillin",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Meropenem",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Co-amoxiclav",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Carbapenems",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Carbapenems",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Cephalosporins",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Aminoglycosides",2,1,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Aminoglycosides",1,1,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Aminopenicillins",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Carbapenems",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Meropenem",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Ceftriaxone",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Cefuroxime",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Amoxicillin",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Italy",2017,"Levofloxacin",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Aminopenicillins",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Fluoroquinolones",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Ceftriaxone",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Levofloxacin",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Fluoroquinolones",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Meropenem",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Co-amoxiclav",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Ceftriaxone",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Aminoglycosides",1,1,0.16,"ATLAS"
"Haemophilus influenzae","meng","Serbia",2017,"Levofloxacin",2,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Meropenem",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","United States",2017,"Cephalosporins",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Cephalosporins",1,0,0.16,"ATLAS"
"Haemophilus influenzae","meng","Germany",2017,"Levofloxacin",1,0,0.16,"ATLAS"
"Haemophilus influenzae","sep","Serbia",2017,"Meropenem",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Canada",2017,"Levofloxacin",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Amoxicillin",1,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Thailand",2017,"Levofloxacin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Croatia",2017,"Levofloxacin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Carbapenems",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Azithromycin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Cefuroxime",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Cephalosporins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Fluoroquinolones",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Ceftriaxone",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Amoxicillin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Spain",2017,"Fluoroquinolones",5,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Netherlands",2017,"Meropenem",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Israel",2017,"Cefuroxime",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Thailand",2017,"Ceftriaxone",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Spain",2017,"Cefuroxime",5,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Czech Republic",2017,"Amoxicillin",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Cephalosporins",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Fluoroquinolones",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Levofloxacin",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Carbapenems",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Cephalosporins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Thailand",2017,"Meropenem",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Ceftriaxone",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Serbia",2017,"Levofloxacin",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Cefuroxime",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Co-amoxiclav",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Spain",2017,"Co-amoxiclav",5,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Netherlands",2017,"Co-amoxiclav",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Co-amoxiclav",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Czech Republic",2017,"Fluoroquinolones",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Aminopenicillins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Aminopenicillins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Carbapenems",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Canada",2017,"Co-amoxiclav",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Aminoglycosides",1,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Israel",2017,"Cephalosporins",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Czech Republic",2017,"Cefuroxime",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Croatia",2017,"Meropenem",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Canada",2017,"Ceftriaxone",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Aminopenicillins",1,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Ceftriaxone",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Croatia",2017,"Co-amoxiclav",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Meropenem",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Carbapenems",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Co-amoxiclav",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Serbia",2017,"Co-amoxiclav",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Serbia",2017,"Ceftriaxone",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Spain",2017,"Ceftriaxone",5,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Spain",2017,"Cephalosporins",5,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Thailand",2017,"Cefuroxime",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Netherlands",2017,"Levofloxacin",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Fluoroquinolones",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Thailand",2017,"Co-amoxiclav",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Ceftriaxone",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Co-amoxiclav",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Canada",2017,"Fluoroquinolones",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","United Kingdom",2017,"Levofloxacin",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Aminoglycosides",1,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Levofloxacin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Aminopenicillins",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Ceftriaxone",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Fluoroquinolones",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Israel",2017,"Aminopenicillins",6,0.5,0.04,"ATLAS"
"Haemophilus influenzae","sep","Thailand",2017,"Amoxicillin",1,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Netherlands",2017,"Ceftriaxone",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Aminoglycosides",1,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Amoxicillin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","United Kingdom",2017,"Carbapenems",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Argentina",2017,"Co-amoxiclav",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Croatia",2017,"Ceftriaxone",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","United Kingdom",2017,"Aminoglycosides",4,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Meropenem",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Switzerland",2017,"Amoxicillin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Cephalosporins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Spain",2017,"Aminoglycosides",3,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Meropenem",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Spain",2017,"Levofloxacin",5,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Amoxicillin",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Serbia",2017,"Carbapenems",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Canada",2017,"Aminoglycosides",6,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Fluoroquinolones",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Switzerland",2017,"Ceftriaxone",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Switzerland",2017,"Cefuroxime",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Serbia",2017,"Cephalosporins",3,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Belgium",2017,"Cefuroxime",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Kuwait",2017,"Amoxicillin",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Latvia",2017,"Cephalosporins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Latvia",2017,"Co-amoxiclav",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Spain",2017,"Meropenem",5,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Latvia",2017,"Ceftriaxone",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Latvia",2017,"Meropenem",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Canada",2017,"Meropenem",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Thailand",2017,"Fluoroquinolones",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Cephalosporins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Cefuroxime",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Canada",2017,"Cefuroxime",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","United Kingdom",2017,"Aminopenicillins",6,0.166666666666667,0.04,"ATLAS"
"Haemophilus influenzae","sep","Canada",2017,"Aminopenicillins",6,0.166666666666667,0.04,"ATLAS"
"Haemophilus influenzae","sep","Jordan",2017,"Levofloxacin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Panama",2017,"Meropenem",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Israel",2017,"Amoxicillin",6,0.5,0.04,"ATLAS"
"Haemophilus influenzae","sep","Latvia",2017,"Aminoglycosides",1,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Latvia",2017,"Amoxicillin",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Israel",2017,"Meropenem",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Italy",2017,"Aminopenicillins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Russia",2017,"Carbapenems",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Croatia",2017,"Aminoglycosides",1,1,0.04,"ATLAS"
"Haemophilus influenzae","sep","Portugal",2017,"Meropenem",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","United Kingdom",2017,"Ceftriaxone",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Germany",2017,"Cefuroxime",4,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Mexico",2017,"Co-amoxiclav",2,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","United Kingdom",2017,"Cefuroxime",6,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Croatia",2017,"Aminopenicillins",1,0,0.04,"ATLAS"
"Haemophilus influenzae","sep","Latvia",2017,"Fluoroquinolones",1,0,0.04,"ATLAS"
